Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-18,16:00,,52,42,,,,
2016-10-18,17:00,,71,50,,,,
2016-10-18,18:00,,154,49,,,,
2016-10-18,19:00,,77,35,,,,
2016-10-18,20:00,,73,23,,,,
2016-10-18,21:00,,29,23,,,,
2016-10-18,22:00,,19,26,,,,
2016-10-18,23:00,,19,24,,,,
2016-10-19,00:00,,6,18,,,,
2016-10-19,01:00,,2,12,,,,
2016-10-19,02:00,,1,7,,,,
2016-10-19,03:00,,5,9,,,,
2016-10-19,04:00,,6,11,,,,
2016-10-19,05:00,,24,26,,,,
2016-10-19,06:00,,38,41,,,,
2016-10-19,07:00,,64,49,,,,
2016-10-19,08:00,,81,54,,,,
2016-10-19,09:00,,49,39,,,,
2016-10-19,10:00,,26,26,,,,
2016-10-19,11:00,,54,36,,,,
2016-10-19,12:00,,21,21,,,,
2016-10-19,13:00,,36,28,,,,
2016-10-19,14:00,,28,25,,,,
2016-10-19,15:00,,29,29,,,,
2016-10-19,16:00,,35,33,,,,
2016-10-19,17:00,,40,38,,,,
2016-10-19,18:00,,21,25,,,,
2016-10-19,19:00,,12,18,,,,
2016-10-19,20:00,,9,16,,,,
2016-10-19,21:00,,4,10,,,,
2016-10-19,22:00,,3,9,,,,
2016-10-19,23:00,,3,8,,,,
2016-10-20,00:00,,2,7,,,,
2016-10-20,01:00,,1,6,,,,
2016-10-20,02:00,,2,9,,,,
2016-10-20,03:00,,2,8,,,,
2016-10-20,04:00,,19,19,,,,
2016-10-20,05:00,,23,25,,,,
2016-10-20,06:00,,63,39,,,,
2016-10-20,07:00,,93,47,,,,
2016-10-20,08:00,,60,43,,,,
2016-10-20,09:00,,58,34,,,,
2016-10-20,10:00,,52,32,,,,
2016-10-20,11:00,,52,35,,,,
2016-10-20,12:00,,35,33,,,,
2016-10-20,13:00,,53,39,,,,
2016-10-20,14:00,,39,34,,,,
2016-10-20,15:00,,35,36,,,,
2016-10-20,16:00,,28,32,,,,
2016-10-20,17:00,,34,42,,,,
2016-10-20,18:00,,48,46,,,,
2016-10-20,19:00,,31,40,,,,
2016-10-20,20:00,,13,26,,,,
2016-10-20,21:00,,9,21,,,,
2016-10-20,22:00,,9,17,,,,
2016-10-20,23:00,,4,14,,,,
2016-10-21,00:00,,4,11,,,,
2016-10-21,01:00,,3,10,,,,
2016-10-21,02:00,,3,10,,,,
2016-10-21,03:00,,10,12,,,,
2016-10-21,04:00,,16,15,,,,
2016-10-21,05:00,,66,23,,,,
2016-10-21,06:00,,73,25,,,,
2016-10-21,07:00,,74,31,,,,
2016-10-21,08:00,,78,31,,,,
2016-10-21,09:00,,65,29,,,,
2016-10-21,10:00,,20,19,,,,
2016-10-21,11:00,,17,18,,,,
2016-10-21,12:00,,31,21,,,,
2016-10-21,13:00,,36,22,,,,
2016-10-21,14:00,,28,23,,,,
2016-10-21,15:00,,39,29,,,,
2016-10-21,16:00,,64,44,,,,
2016-10-21,17:00,,111,45,,,,
2016-10-21,18:00,,78,37,,,,
2016-10-21,19:00,,45,29,,,,
2016-10-21,20:00,,30,27,,,,
2016-10-21,21:00,,11,20,,,,
2016-10-21,22:00,,8,16,,,,
2016-10-21,23:00,,6,14,,,,
2016-10-22,00:00,,4,14,,,,
2016-10-22,01:00,,4,12,,,,
2016-10-22,02:00,,2,12,,,,
2016-10-22,03:00,,1,11,,,,
2016-10-22,04:00,,7,13,,,,
2016-10-22,05:00,,4,10,,,,
2016-10-22,06:00,,9,12,,,,
2016-10-22,07:00,,8,13,,,,
2016-10-22,08:00,,13,15,,,,
2016-10-22,09:00,,34,23,,,,
2016-10-22,10:00,,39,26,,,,
2016-10-22,11:00,,39,30,,,,
2016-10-22,12:00,,29,23,,,,
2016-10-22,13:00,,32,25,,,,
2016-10-22,14:00,,29,27,,,,
2016-10-22,15:00,,27,26,,,,
2016-10-22,16:00,,23,23,,,,
2016-10-22,17:00,,43,28,,,,
2016-10-22,18:00,,33,28,,,,
2016-10-22,19:00,,27,25,,,,
2016-10-22,20:00,,26,21,,,,
2016-10-22,21:00,,31,14,,,,
2016-10-22,22:00,,36,15,,,,
2016-10-22,23:00,,14,12,,,,
2016-10-23,00:00,,17,14,,,,
2016-10-23,01:00,,11,12,,,,
2016-10-23,02:00,,10,9,,,,
2016-10-23,03:00,,8,12,,,,
2016-10-23,04:00,,6,11,,,,
2016-10-23,05:00,,2,10,,,,
2016-10-23,06:00,,9,12,,,,
2016-10-23,07:00,,4,12,,,,
2016-10-23,08:00,,8,12,,,,
2016-10-23,09:00,,10,12,,,,
2016-10-23,10:00,,11,12,,,,
