Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-03-17,07:00,,0.1,1,7,62,,,
2000-03-17,08:00,,0.1,1,7,59,,,1.1
2000-03-17,09:00,,0.1,2,9,56,,,1.5
2000-03-17,10:00,,0.1,1,9,64,,,1.2
2000-03-17,11:00,,0.2,1,12,62,,,1.2
2000-03-17,12:00,,0.2,1,10,60,,,2.6
2000-03-17,13:00,,0.1,1,9,65,,,4.8
2000-03-17,14:00,,0.1,1,7,76,,,2.2
2000-03-17,15:00,,0.1,1,6,82,,,2.3
2000-03-17,16:00,,0.1,1,6,81,,,2.5
2000-03-17,17:00,,0.1,1,6,80,,,1.3
2000-03-17,18:00,,0.1,1,8,73,,,1.3
2000-03-17,19:00,,0.1,1,10,69,,,1.8
2000-03-17,20:00,,0.1,1,11,67,,,2.9
2000-03-17,21:00,,0.1,1,10,68,,,2.5
2000-03-17,22:00,,0.1,1,14,62,,,3.4
2000-03-17,23:00,,0.1,1,10,65,,,2.5
2000-03-18,,,,,,,9,,
2000-03-18,00:00,,0.1,1,8,66,,,2.1
2000-03-18,01:00,,0.1,1,8,62,,,1.0
2000-03-18,02:00,,0.1,1,9,57,,,1.0
2000-03-18,03:00,,0.1,,,,,,1.8
2000-03-18,04:00,,0.1,1,10,58,,,1.4
2000-03-18,05:00,,0.1,1,8,59,,,1.0
2000-03-18,06:00,,0.1,1,8,55,,,
2000-03-18,07:00,,0.1,1,9,53,,,1.2
2000-03-18,08:00,,0.1,1,10,53,,,1.3
2000-03-18,09:00,,0.1,1,9,58,,,2.0
2000-03-18,10:00,,0.2,1,8,66,,,1.7
2000-03-18,11:00,,0.1,1,6,74,,,1.1
2000-03-18,12:00,,0.1,1,6,79,,,2.2
2000-03-18,13:00,,0.1,1,5,82,,,3.3
2000-03-18,14:00,,0.1,1,5,81,,,2.2
2000-03-18,15:00,,0.1,1,6,82,,,2.0
2000-03-18,16:00,,0.1,1,6,82,,,1.4
2000-03-18,17:00,,0.1,1,6,83,,,1.4
2000-03-18,18:00,,0.1,1,6,81,,,1.5
2000-03-18,19:00,,,2,13,74,,,1.4
2000-03-18,20:00,,0.1,1,12,78,,,1.9
